 TS, Iref, Isig, ATN, BC, RH, T, FR, Vbat
$2022-03-10 15:28:37,6296421,7150159,1.1703339,13.2205,1.40993,24.89853,149.6,7.09
$2022-03-10 15:28:42,6294497,7146744,1.1877823,14.0918,1.42519,24.92523,149.6,7.09
$2022-03-10 15:28:44,6293647,7145180,1.1963453,15.7134,1.4435,24.94125,149.6,7.09
$2022-03-10 15:28:46,6292797,7143516,1.2063084,18.3142,1.4435,24.95461,149.6,7.09
$2022-03-10 15:28:48,6292006,7141959,1.2157497,17.3226,1.40993,24.96796,149.6,7.09
$2022-03-10 15:28:50,6291176,7140281,1.2262449,19.2497,1.37942,24.96796,150,7.09
$2022-03-10 15:28:52,6290343,7138596,1.2368145,19.4138,1.41146,24.98131,149.6,7.09
$2022-03-10 15:28:54,6289549,7137027,1.2463121,17.4474,1.37942,24.99733,149.6,7.09
$2022-03-10 15:28:56,6288725,7135430,1.2558041,17.4348,1.42824,25.01335,149.6,7.09
$2022-03-10 15:28:58,6287901,7133944,1.2637272,14.4766,1.38247,25.04272,149.6,7.09
$2022-03-10 15:29:00,6287088,7132530,1.2707977,12.8943,1.3962,25.04272,149.6,7.09
$2022-03-10 15:29:02,6286259,7131015,1.2790499,15.1902,1.38247,25.06943,149.6,7.09
$2022-03-10 15:29:04,6285444,7129596,1.2861595,13.0708,1.31533,25.05608,149.6,7.09
$2022-03-10 15:29:06,6284651,7128191,1.2934504,13.3365,1.39773,25.08278,149.6,7.09
$2022-03-10 15:29:08,6283799,7126747,1.3003435,12.6797,1.31838,25.0988,149.6,7.09
$2022-03-10 15:29:10,6283023,7125341,1.3079243,13.9259,1.43282,25.1255,149.6,7.09
$2022-03-10 15:29:12,6282236,7123886,1.3160181,14.7211,1.38399,25.13885,150,7.09
$2022-03-10 15:29:14,6281416,7122447,1.3233614,13.4966,1.35195,25.15488,149.6,7.09
$2022-03-10 15:29:16,6280618,7121114,1.3295565,11.3766,1.33364,25.1255,149.6,7.09
$2022-03-10 15:29:18,6279820,7119746,1.3362379,12.2974,1.36873,25.15488,149.6,7.09
$2022-03-10 15:29:20,6279015,7118310,1.3437614,13.8233,1.41604,25.16823,149.6,7.09
$2022-03-10 15:29:22,6278233,7116889,1.3514881,14.2021,1.30617,25.2243,150,7.09
$2022-03-10 15:29:24,6277458,7115351,1.3609428,17.3386,1.355,25.21095,150,7.09
$2022-03-10 15:29:26,6276663,7113875,1.3692551,15.2497,1.355,25.23766,150,7.09
$2022-03-10 15:29:28,6275891,7112368,1.3783102,16.5948,1.41604,25.21095,150,7.09
$2022-03-10 15:29:30,6275083,7110795,1.3877344,17.3206,1.33822,25.23766,150,7.09
$2022-03-10 15:29:32,6274316,7109406,1.3952684,13.8392,1.30922,25.28039,150,7.09
$2022-03-10 15:29:34,6273530,7108046,1.4020395,12.41,1.29091,25.25101,150,7.09
$2022-03-10 15:29:36,6272768,7106659,1.409606,13.9277,1.355,25.26704,149.6,7.09
$2022-03-10 15:29:38,6272006,7105360,1.4159241,11.5903,1.33822,25.29374,150,7.09
$2022-03-10 15:29:40,6271237,7104055,1.4222136,11.5568,1.32296,25.30976,150,7.09
$2022-03-10 15:29:45,6269533,7101142,1.4362307,11.306,1.34127,25.34981,150,7.09
$2022-03-10 15:29:47,6268725,7099791,1.4425802,11.6645,1.37484,25.34981,150,7.09
$2022-03-10 15:29:49,6267954,7098511,1.4484901,10.8474,1.32448,25.34981,150,7.09
$2022-03-10 15:29:51,6267242,7097269,1.454812,11.5897,1.32448,25.39254,150.3,7.09
$2022-03-10 15:29:53,6266456,7095945,1.4611197,11.5717,1.31075,25.37919,150,7.09
$2022-03-10 15:29:55,6265685,7094600,1.4679604,12.5698,1.29549,25.39254,150,7.09
$2022-03-10 15:29:57,6264968,7093321,1.4747267,12.4286,1.24514,25.39254,150,7.09
$2022-03-10 15:29:58,6264198,7091924,1.4823217,13.8142,1.34279,25.43526,150.3,7.09
$2022-03-10 15:30:01,6263442,7090389,1.4920797,17.8252,1.27871,25.42191,150,7.09
$2022-03-10 15:30:03,6262723,7088897,1.5018177,17.8828,1.32753,25.44862,150,7.09
$2022-03-10 15:30:05,6261953,7087352,1.511488,17.6246,1.34279,25.46197,150,7.09
$2022-03-10 15:30:07,6261233,7085795,1.5221415,19.4217,1.29702,25.46197,150.3,7.09
$2022-03-10 15:30:09,6260462,7084250,1.5318289,16.8689,1.26345,25.44862,150,7.09
$2022-03-10 15:30:11,6259698,7082702,1.5416441,17.9966,1.28176,25.49134,150.3,7.08
$2022-03-10 15:30:13,6258966,7081324,1.5495911,14.4819,1.28176,25.49134,150,7.09
$2022-03-10 15:30:15,6258221,7079957,1.5571404,13.7804,1.29702,25.49134,150.3,7.09
$2022-03-10 15:30:17,6257476,7078579,1.5648699,14.2107,1.32906,25.53406,150,7.08
$2022-03-10 15:30:19,6256767,7077240,1.5726404,14.1575,1.26497,25.51804,150,7.09
$2022-03-10 15:30:21,6256032,7075998,1.5786037,10.9032,1.26497,25.53406,150.3,7.09
$2022-03-10 15:30:23,6255294,7074647,1.5860825,13.7494,1.28176,25.54742,150.3,7.09
$2022-03-10 15:30:25,6254605,7073362,1.5934067,13.426,1.28328,25.59282,150,7.09
$2022-03-10 15:30:27,6253867,7072001,1.6010265,13.9893,1.26802,25.57946,150.3,7.09
$2022-03-10 15:30:29,6253150,7070697,1.6081467,13.0585,1.28328,25.57946,150.3,7.09
$2022-03-10 15:30:31,6252460,7069457,1.6148224,12.2364,1.25124,25.60617,150.3,7.09
$2022-03-10 15:30:33,6251718,7068102,1.6222982,13.7193,1.25124,25.61952,150.3,7.08
$2022-03-10 15:30:35,6251033,7066717,1.6310949,16.1404,1.28328,25.60617,150.3,7.08
$2022-03-10 15:30:37,6250323,7065248,1.6407175,17.6539,1.30159,25.66225,150.3,7.09
$2022-03-10 15:30:39,6249627,7063673,1.6520643,20.8397,1.31838,25.6489,150.3,7.08
$2022-03-10 15:30:41,6248925,7062113,1.6630659,20.1435,1.26955,25.66225,150.7,7.08
$2022-03-10 15:30:43,6248229,7060657,1.6727266,17.6621,1.25429,25.69162,150.7,7.09
$2022-03-10 15:31:22,6235856,7041661,1.6996441,46.2217,2.94957,25.7744,164.5,7.04
$2022-03-10 15:31:24,6235661,7040801,1.7204647,38.0795,2.59556,25.78775,150.7,7.05
$2022-03-10 15:31:26,6235575,7039977,1.7379246,31.9123,2.24002,25.78775,150.7,7.04
$2022-03-10 15:31:28,6235468,7039196,1.7520313,25.9281,1.9501,25.76105,150.7,7.04
$2022-03-10 15:31:30,6235363,7038542,1.7630892,7.4256,1.80514,25.7744,151,7.06
$2022-03-10 15:31:35,6235050,7036907,1.7838631,37.7462,1.51217,25.76105,151,7.08
$2022-03-10 15:31:37,6234962,7036428,1.7913074,13.5457,1.49691,25.78775,151.3,7.08
$2022-03-10 15:31:39,6234842,7035846,1.7992344,14.3176,1.44808,25.7477,151.3,7.08
$2022-03-10 15:31:41,6234724,7035323,1.8060989,12.5528,1.45113,25.7744,151,7.08
$2022-03-10 15:31:43,6234611,7034779,1.8130836,12.8006,1.38399,25.7477,150.7,7.08
$2022-03-10 15:31:45,6234483,7034156,1.8208208,14.181,1.32296,25.76105,150.7,7.08
$2022-03-10 15:31:47,6234339,7033515,1.8284636,14.0203,1.33669,25.80377,150.7,7.08
$2022-03-10 15:31:49,6234185,7032802,1.8368511,15.316,1.32296,25.7744,151,7.08
$2022-03-10 15:31:51,6234030,7032109,1.8448696,14.6928,1.27413,25.81712,150.7,7.08
$2022-03-10 15:31:53,6233860,7031433,1.8523016,13.6277,1.33669,25.78775,150.7,7.08
$2022-03-10 15:31:55,6233661,7030658,1.8606272,15.237,1.32296,25.81712,151,7.08
$2022-03-10 15:31:57,6233438,7029799,1.8697176,16.6063,1.29091,25.80377,151,7.08
$2022-03-10 15:31:59,6233192,7028831,1.8799772,18.0553,1.25582,25.83048,151,7.08
$2022-03-10 15:32:01,6232921,7027821,1.8903694,18.8445,1.32296,25.81712,151,7.08
$2022-03-10 15:32:03,6232611,7026865,1.8993702,16.4476,1.25887,25.84383,151,7.08
$2022-03-10 15:32:05,6232293,7026010,1.9067373,13.4941,1.24514,25.84383,151,7.08
$2022-03-10 15:32:07,6231977,7025124,1.9145889,14.348,1.22683,25.84383,151,7.08
$2022-03-10 15:32:09,6231658,7024273,1.9218483,13.3173,1.24514,25.85985,150.7,7.08
$2022-03-10 15:32:11,6231311,7023411,1.9288387,12.8284,1.22835,25.88655,150.7,7.08
$2022-03-10 15:32:13,6230927,7022516,1.9356546,12.3885,1.24514,25.84383,150.7,7.08
$2022-03-10 15:32:15,6230535,7021611,1.9424887,12.4598,1.21004,25.88655,151,7.08
$2022-03-10 15:32:17,6230145,7020699,1.9494505,12.7422,1.25887,25.88655,151,7.08
$2022-03-10 15:32:19,6229737,7019752,1.9566002,13.1198,1.22835,25.91593,150.7,7.08
$2022-03-10 15:32:21,6229301,7018817,1.9679708,20.7689,1.21309,25.92928,151,7.08
$2022-03-10 15:32:23,6228863,7017832,1.9750051,12.8953,1.25887,25.91593,151,7.08
$2022-03-10 15:32:25,6228391,7016807,1.9821463,13.0906,1.16426,25.94263,151,7.08
$2022-03-10 15:32:27,6227934,7015748,1.9899845,14.33,1.24666,25.94263,151,7.08
$2022-03-10 15:32:29,6227445,7014647,1.9978952,14.4295,1.24666,25.94263,151,7.08
$2022-03-10 15:32:31,6226995,7013559,2.0062361,15.1735,1.2314,25.95865,150.7,7.08
$2022-03-10 15:32:33,6226508,7012387,2.0152197,16.5059,1.22835,25.94263,150.7,7.08
$2022-03-10 15:32:35,6226020,7011120,2.0255451,18.9289,1.19631,25.972,150.7,7.08
$2022-03-10 15:32:37,6225532,7009837,2.0361032,19.3508,1.16732,25.98535,151,7.08
$2022-03-10 15:32:39,6225021,7008556,2.0462904,18.6307,1.2314,25.9987,151,7.08
$2022-03-10 15:32:41,6224522,7007402,2.0548487,15.7035,1.21462,26.02808,151,7.08
$2022-03-10 15:32:46,6223372,7004816,2.0734158,14.9373,1.24971,26.01473,151,7.08
$2022-03-10 15:32:48,6222827,7003672,2.0811205,14.1318,1.26345,26.02808,151,7.08
